Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.250806417,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.320303913,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.009640166,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.009644403,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.01372097,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.016094217,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.013932424,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.017126194,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.095995881,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.278017748,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.246378806,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.246421462,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.245059224,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.243042585,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.242795025,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.242295809,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.258664972,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.292167604,Model 1
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.009388673,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.009388673,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.011314819,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.012485299,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.038540869,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.088190316,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.213472234,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.310014611,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.010605742,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.010712372,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.012911813,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.017924386,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.015483752,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.018590628,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,0.113806152,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,0.258789531,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1000,step,0.223278855,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1000,step,0.223424761,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1000,step,0.219557646,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1000,step,0.216057243,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1000,step,0.217694931,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1000,step,0.216605809,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,1000,step,0.272887821,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,1000,step,0.309709428,Model 2
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,10000,step,0.009388673,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,10000,step,0.009388673,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,10000,step,0.011314819,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,10000,step,0.012485299,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,10000,step,0.038540869,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,10000,step,0.088190316,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,0.213472234,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,0.310014611,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1,Inf,0,1.00E+05,step,0.010605742,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,2,1,7,1.00E+05,step,0.010712372,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.002313162,300,1994,1.00E+05,step,0.012911813,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,0.017924386,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,0.015483752,Model 3
GM12878-HUVEC,Differential expression,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,0.018590628,Model 3
