Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,-1.956519306
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,1.00E+05,step,-1.919641924
H3K27me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,10000,step,-2.679147355
H3K27me3 H1-hESC,SDPM,Variance stabilization,2,1,7,10000,step,-2.679147355
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,10000,step,-2.683194996
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,10000,step,-2.680244122
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,10000,step,-2.676645473
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,10000,step,-2.575108109
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,-2.318256874
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,-1.959171468
H3K27me3 H1-hESC,log(x+1),Variance stabilization,1,Inf,0,1000,step,-1.837903086
H3K27me3 H1-hESC,asinh(x),Variance stabilization,1,Inf,0,1000,step,-1.812180156
H3K27me3 H1-hESC,No transformation,Variance stabilization,1,Inf,0,1000,step,-4.173569501
H3K36me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,1.00E+05,step,-1.630213379
H3K36me3 H1-hESC,SDPM,Variance stabilization,2,1,7,1.00E+05,step,-1.630213379
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,1.00E+05,step,-1.630213379
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,-1.630213379
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,-1.63834286
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,-1.639884645
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,-1.576041773
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,-1.522259507
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,1.00E+05,step,-1.470745691
H3K36me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,10000,step,-1.686599181
H3K36me3 H1-hESC,SDPM,Variance stabilization,2,1,7,10000,step,-1.686599181
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,10000,step,-1.688835228
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,10000,step,-1.688085294
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,10000,step,-1.652264017
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,10000,step,-1.620313717
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,-1.563956575
H3K36me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,-1.465289149
H3K36me3 H1-hESC,log(x+1),Variance stabilization,1,Inf,0,1000,step,-1.465474796
H3K36me3 H1-hESC,asinh(x),Variance stabilization,1,Inf,0,1000,step,-1.609078748
H3K36me3 H1-hESC,No transformation,Variance stabilization,1,Inf,0,1000,step,-1.819081926
H3K4me1 H1-hESC,SDPM,Variance stabilization,1,Inf,0,1.00E+05,step,-1.984880718
H3K4me1 H1-hESC,SDPM,Variance stabilization,2,1,7,1.00E+05,step,-1.984880718
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,1.00E+05,step,-1.984880718
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,-1.984880718
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,-1.98487929
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,-1.98188112
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,-1.780475458
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,-1.703385801
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,1.00E+05,step,-1.646723517
H3K4me1 H1-hESC,SDPM,Variance stabilization,1,Inf,0,10000,step,-2.144286249
H3K4me1 H1-hESC,SDPM,Variance stabilization,2,1,7,10000,step,-2.144286249
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,10000,step,-2.193460296
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,10000,step,-2.185206684
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,10000,step,-1.999559062
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,10000,step,-1.923052923
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,-1.770490882
H3K4me1 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,-1.713786532
H3K4me1 H1-hESC,log(x+1),Variance stabilization,1,Inf,0,1000,step,-1.57536494
H3K4me1 H1-hESC,asinh(x),Variance stabilization,1,Inf,0,1000,step,-1.674494488
H3K4me1 H1-hESC,No transformation,Variance stabilization,1,Inf,0,1000,step,-2.31610307
H3K9me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,1.00E+05,step,-1.930701238
H3K9me3 H1-hESC,SDPM,Variance stabilization,2,1,7,1.00E+05,step,-1.930701238
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,1.00E+05,step,-1.930701238
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,-1.930701238
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,-1.930701238
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,-1.926486899
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,-1.825217168
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,-1.651362819
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,1.00E+05,step,-1.620828253
H3K9me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,10000,step,-2.173141036
H3K9me3 H1-hESC,SDPM,Variance stabilization,2,1,7,10000,step,-2.173141036
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,10000,step,-2.192977211
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,10000,step,-2.180300335
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,10000,step,-2.086661126
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,10000,step,-1.968245202
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,-1.857447242
H3K9me3 H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,-1.621963395
H3K9me3 H1-hESC,log(x+1),Variance stabilization,1,Inf,0,1000,step,-1.567537668
H3K9me3 H1-hESC,asinh(x),Variance stabilization,1,Inf,0,1000,step,-1.65868263
H3K9me3 H1-hESC,No transformation,Variance stabilization,1,Inf,0,1000,step,-2.903222336
